gid,funderid,fundername,awardid,value,popdate,fundagency,fundsubagency,fundoffice,psc,naics,ruei,rcage,rparuei
6373,https://openalex.org/F4320337346,National Institute of Mental Health,R01-MH112694,,,,,,,,,,
6374,https://openalex.org/F4320337367,Division of Materials Research,1419807,,,,,,,,,,
6375,https://openalex.org/F4320337345,Office of Naval Research,N00014-17-1-2609,,,,,,,,,,
6376,https://openalex.org/F4320337345,Office of Naval Research,N00014-21-1-2703,,,,,,,,,,
6377,https://openalex.org/F4320332276,Advanced Research Projects Agency - Energy,DE-FG02-84ER45118,,,,,,,,,,
6378,https://openalex.org/F4320332161,National Institutes of Health,1R01HL151240,,,,,,,,,,
6379,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,HR0011-20-9-0017,,,,,,,,,,
6380,https://openalex.org/F4320338335,H2020 European Research Council,824093,,,,,,,,,,
6381,https://openalex.org/F4320323868,Barcelona Supercomputing Center,RES-FI-2022-1-0040,,,,,,,,,,
6382,https://openalex.org/F4320335598,Agencia Estatal de Investigación,PID2020-118758GB-I00,,,,,,,,,,
6383,https://openalex.org/F4320335598,Agencia Estatal de Investigación,CEX2019-000918-M,,,,,,,,,,
6384,https://openalex.org/F4320306076,National Science Foundation,2035015,,,,,,,,,,
6385,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,HR0011-18- 3-0007,,,,,,,,,,
6386,https://openalex.org/F4320321595,Federación Española de Enfermedades Raras,FIS2017-87534-P,,,,,,,,,,
1188,https://openalex.org/F4320306076,National Science Foundation,PHY-2207972,,,,,,,,,,
6388,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,D14AP00008,,,,,,,,,,
6389,https://openalex.org/F4320337391,"Division of Civil, Mechanical and Manufacturing Innovation",CMMI-1916110,,,,,,,,,,
6343,https://openalex.org/F4320306084,U.S. Department of Energy,DE-SC0014402,,,,,,,,,,
6355,https://openalex.org/F4320338281,Army Research Office,W911NF2120147,,,,,,,,,,
6390,https://openalex.org/F4320332161,National Institutes of Health,R01AR068048,,,,,,,,,,
6391,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-20-1-0363,,,,,,,,,,
6392,https://openalex.org/F4320338337,H2020 Marie Skłodowska-Curie Actions,794614,,,,,,,,,,
6393,https://openalex.org/F4320337351,National Cancer Institute,R01-CA240582,,,,,,,,,,
6363,https://openalex.org/F4320332999,Horizon 2020 Framework Programme,871249,,,,,,,,,,
6394,https://openalex.org/F4320306164,Simons Foundation,543061,,,,,,,,,,
6395,https://openalex.org/F4320306076,National Science Foundation,1844724,,,,,,,,,,
6396,https://openalex.org/F4320332161,National Institutes of Health,RO1 EY 022318,,,,,,,,,,
