oid,name,eid,amount,year,country,herddod,herddoe,herdhhs,herdnasa,herdnsf,herdusda,herdfedother,herdstate,herdinst,herdbusi,herdnonprof,herdallother
169,Duquesne University,217670,"$3,118.00",2022,USA,"$1,042,000.00",$0.00,"$2,832,000.00",$0.00,"$817,000.00",$0.00,"$1,618,000.00","$928,000.00","$4,043,000.00","$217,000,000.00","$2,447,000,000.00",$0.00
160,Bryn Mawr College,217631,"$1,036.00",2022,USA,$0.00,$0.00,"$220,000.00",$0.00,"$990,000.00",$0.00,"$47,000.00",$0.00,"$7,692,000.00",$0.00,"$174,000,000.00",$0.00
150,Pacific University,214526,$758.00,2022,USA,$0.00,$0.00,"$1,434,000.00",$0.00,"$883,000.00",$0.00,"$355,000.00","$498,000.00","$2,670,000.00","$45,000,000.00","$243,000,000.00",$0.00
161,Bucknell University,218209,"$1,144.00",2022,USA,"$46,000.00","$3,000.00","$638,000.00","$181,000.00","$1,540,000.00","$6,000.00","$125,000.00",$0.00,"$1,150,000.00","$369,000,000.00","$236,000,000.00","$965,000,000.00"
177,Haverford College,218502,"$2,022.00",2022,USA,"$1,298,000.00",$0.00,"$363,000.00","$261,000.00","$800,000.00",$0.00,$0.00,$0.00,"$852,000.00",$0.00,"$381,000,000.00","$532,000,000.00"
194,Swarthmore College,219423,"$1,634.00",2022,USA,$0.00,$0.00,"$521,000.00","$112,000.00","$973,000.00",$0.00,"$127,000.00","$6,000.00","$2,130,000.00",$0.00,"$356,000,000.00",$0.00
7603,Purdue University West Lafayette,212244,,2024,USA,"$123,426,000.00","$38,261,000.00","$95,351,000.00","$14,493,000.00","$90,801,000.00","$44,823,000.00","$44,647,000.00","$43,893,000.00","$280,219,000.00","$72,672,000,000.00","$31,385,000,000.00","$51,542,000,000.00"
157,Willamette University,218383,$375.00,2022,USA,$0.00,$0.00,"$98,000.00",$0.00,"$658,000.00",$0.00,"$35,000.00",$0.00,"$1,344,000.00",$0.00,"$48,000,000.00",$0.00
211,Roger Williams University,195459,"$1,600.00",2022,USA,"$44,000.00",$0.00,"$373,000.00",$0.00,"$707,000.00","$41,000.00","$186,000.00","$165,000.00","$445,000.00","$30,000,000.00","$165,000,000.00",$0.00
173,Franklin & Marshall College,217779,$616.00,2022,USA,$0.00,$0.00,"$576,000.00","$471,000.00","$419,000.00",$0.00,"$214,000.00","$266,000.00","$1,555,000.00","$339,000,000.00","$333,000,000.00","$267,000,000.00"
215,Citadel,121270,$416.00,2022,USA,"$2,507,000.00",$0.00,"$80,000.00","$72,000.00","$718,000.00",$0.00,"$364,000.00","$270,000.00","$336,000.00","$3,000,000.00","$20,000,000.00","$4,000,000.00"
155,Oregon University System,115019,"$63,299.00",2022,USA,,,,,,,,,,,,
180,Lafayette College,218738,"$2,139.00",2022,USA,"$56,000.00","$62,000.00","$150,000.00","$49,000.00","$983,000.00",$0.00,$0.00,$0.00,"$605,000.00","$32,000,000.00","$110,000,000.00","$12,000,000.00"
216,Claflin University,221956,$629.00,2022,USA,"$198,000.00","$450,000.00","$283,000.00",$0.00,"$248,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
162,California University of Pennsylvania,205791,"$1,317.00",2022,USA,,,,,,,,,,,,
167,Dickinson College,217726,$330.00,2022,USA,,,,,,,,,,,,
172,Elizabethtown College,119651,"$1,196.00",2022,USA,,,,,,,,,,,,
174,Gannon University,113971,$375.00,2022,USA,,,,,,,,,,,,
175,Gettysburg College,217819,$684.00,2022,USA,,,,,,,,,,,,
178,Indiana University of Pennsylvania,217638,$461.00,2022,USA,,,,,,,,,,,,
182,Marywood University,114034,$193.00,2022,USA,,,,,,,,,,,,
184,Millersville University,114045,$511.00,2022,USA,,,,,,,,,,,,
