oid,name,eid,amount,year,country,herddod,herddoe,herdhhs,herdnasa,herdnsf,herdusda,herdfedother,herdstate,herdinst,herdbusi,herdnonprof,herdallother
93,Warren Wilson College,135640,"$4,103.00",2022,USA,,,,,,,,,,,,
96,Bismarck State College,122800,$473.00,2022,USA,,,,,,,,,,,,
98,North Dakota State College of Science,122544,$362.00,2022,USA,,,,,,,,,,,,
102,Turtle Mountain Community College,121820,$544.00,2022,USA,,,,,,,,,,,,
104,United Tribes Technical College,121890,$380.00,2022,USA,,,,,,,,,,,,
100,Nueta Hidatsa Sahnish College,162192,$350.00,2022,USA,,,,,,,,,,,,
112,Denison University,215408,$248.00,2022,USA,,,,,,,,,,,,
108,College of Wooster,221216,$488.00,2022,USA,,,,,,,,,,,,
107,Bowling Green State University,219320,"$4,181.00",2022,USA,,,,,,,,,,,,
113,John Carroll University,198404,$427.00,2022,USA,,,,,,,,,,,,
114,Kent State University,114007,"$7,857.00",2022,USA,,,,,,,,,,,,
119,Oberlin College,221687,"$1,189.00",2022,USA,,,,,,,,,,,,
120,Ohio Northern University,114080,$196.00,2022,USA,,,,,,,,,,,,
121,The Ohio State University,215745,"$399,476.00",2022,USA,,,,,,,,,,,,
126,Ohio Department of Higher Education,204964,"$3,194.00",2022,USA,,,,,,,,,,,,
123,Ohio Wesleyan University,221246,"$1,005.00",2022,USA,,,,,,,,,,,,
128,University of Akron,114165,"$7,601.00",2022,USA,,,,,,,,,,,,
131,University of Toledo,204467,"$19,507.00",2022,USA,,,,,,,,,,,,
135,Wright State University,195307,"$8,715.00",2022,USA,,,,,,,,,,,,
133,Xavier University,226776,$395.00,2022,USA,,,,,,,,,,,,
138,Oral Roberts University,114086,$399.00,2022,USA,,,,,,,,,,,,
142,Central Oregon Community College,120819,$197.00,2022,USA,,,,,,,,,,,,
11709,Louisiana State University System,114735,"$135,252,000.00",2023,USA,,,,,,,,,,,,
9042,Stevens Institute of Technology,218836,"$20,174,000.00",2021,USA,"$21,258,000.00","$1,673,000.00","$1,883,000.00","$720,000.00","$6,391,000.00",$0.00,"$2,073,000.00","$1,642,000.00","$5,491,000.00","$1,403,000,000.00","$675,000,000.00","$177,000,000.00"
8999,Montana Technological University,215252,"$607,000.00",2021,USA,"$4,012,000.00","$187,000.00","$428,000.00","$135,000.00","$416,000.00","$86,000.00","$869,000.00","$5,658,000.00","$2,739,000.00","$402,000,000.00",$0.00,"$1,000,000.00"
163,Carnegie Mellon University,213494,"$210,552.00",2022,USA,"$111,193,000.00","$16,658,000.00","$42,840,000.00","$7,239,000.00","$69,614,000.00","$1,259,000.00","$10,357,000.00","$4,379,000.00","$123,903,000.00","$42,115,000,000.00","$13,772,000,000.00","$6,378,000,000.00"
196,Thomas Jefferson University,219022,"$81,197.00",2022,USA,"$5,109,000.00","$176,000.00","$168,466,000.00","$85,000.00","$17,000.00",$0.00,"$8,000.00","$14,252,000.00","$63,739,000.00","$26,469,000,000.00","$24,927,000,000.00","$18,396,000,000.00"
195,Temple University,218437,"$96,539.00",2022,USA,"$9,238,000.00","$3,360,000.00","$113,603,000.00","$636,000.00","$11,239,000.00","$378,000.00","$5,126,000.00","$8,109,000.00","$99,543,000.00","$26,463,000,000.00","$17,459,000,000.00","$6,241,000,000.00"
206,Brown University,218291,"$183,991.00",2022,USA,"$19,511,000.00","$6,583,000.00","$149,308,000.00","$4,764,000.00","$28,913,000.00","$110,000.00","$5,878,000.00","$9,000.00","$56,819,000.00","$4,247,000,000.00","$28,539,000,000.00","$6,099,000,000.00"
217,Clemson University,217599,"$67,423.00",2022,USA,"$11,729,000.00","$8,174,000.00","$16,596,000.00","$1,886,000.00","$21,701,000.00","$9,177,000.00","$50,249,000.00","$25,685,000.00","$95,211,000.00","$17,690,000,000.00","$4,796,000,000.00","$264,000,000.00"
210,University of Rhode Island,217655,"$59,461.00",2022,USA,"$9,281,000.00","$1,322,000.00","$21,890,000.00","$736,000.00","$19,687,000.00","$7,212,000.00","$33,062,000.00","$5,508,000.00","$24,722,000.00","$1,304,000,000.00","$3,470,000,000.00","$908,000,000.00"
13509,University of Houston - Downtown,114743,,2021,USA,"$14,000.00",$0.00,"$78,000.00",$0.00,"$248,000.00",$0.00,"$829,000.00","$72,000.00","$215,000.00",$0.00,"$372,000,000.00",$0.00
577,Colorado School of Mines,224385,"$35,287.00",2022,USA,"$11,603,000.00","$24,478,000.00","$3,060,000.00","$3,060,000.00","$15,207,000.00","$638,000.00","$8,154,000.00","$1,446,000.00","$13,739,000.00","$9,580,000,000.00","$2,329,000,000.00","$5,110,000,000.00"
181,Lehigh University,218515,"$29,742.00",2022,USA,"$3,504,000.00","$5,730,000.00","$10,051,000.00","$157,000.00","$13,029,000.00","$10,000.00","$4,054,000.00","$2,342,000.00","$11,162,000.00","$595,000,000.00","$1,060,000,000.00","$75,000,000.00"
202,Villanova University,195735,"$8,395.00",2022,USA,"$867,000.00","$23,000.00","$1,259,000.00","$737,000.00","$3,049,000.00",$0.00,"$541,000.00","$1,404,000.00","$15,309,000.00","$605,000,000.00","$2,140,000,000.00","$21,000,000.00"
