"AID","name","orcid","hindex","i10index","_affilliation","_afilldaterange","_afillEID","flagged","openalexid"
"120483","Kang L. Wang",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5111559743"
"120484","Xixiang Zhang","https://orcid.org/0000-0002-3478-6414",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5075767125"
"120485","Hao Wu","https://orcid.org/0000-0001-8608-3035",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5054372750"
"120486","Chen Chen","https://orcid.org/0000-0001-9992-0496",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5100418402"
"120487","Hang Yang","https://orcid.org/0000-0002-5974-1175",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5083001114"
"120488","Hui Shan Wang",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5109519772"
"120489","Yang Wang","https://orcid.org/0000-0003-4736-6213",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5100322982"
"120490","Xiujun Wang","https://orcid.org/0000-0002-2859-8011",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5048954608"
"120491","Chengxin Jiang","https://orcid.org/0000-0001-9307-1489",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5031999162"
"120492","Yu Feng",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5102553391"
"120493","Chenxi Liu","https://orcid.org/0000-0002-5559-098X",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5100387426"
"120494","Eli Janzen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5104244261"
"120495","James H. Edgar","https://orcid.org/0000-0003-0918-5964",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5027299318"
"120496","Zhipeng Wei","https://orcid.org/0000-0002-0492-9365",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5073205028"
"120497","Wanlin Guo","https://orcid.org/0000-0002-2302-8044",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5035104993"
"120498","Weida Hu","https://orcid.org/0000-0001-5278-8969",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5031365355"
"120499","Zhuhua Zhang",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5112996126"
"120500","Haomin Wang","https://orcid.org/0000-0001-6388-2432",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5009560352"
"120501","Xiaoming Xie","https://orcid.org/0000-0002-9891-6927",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5013978849"
"120502","Adam Charnas","https://orcid.org/0000-0002-2282-4428",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5076139701"
"120503","Zhuocheng Zhang","https://orcid.org/0000-0002-3559-0704",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5051411691"
